python_based_indices,frequency,percentage,mapping
655,1410002,99.970150798732,551
808,1408239,99.84515283712759,697
1379,1407960,99.82537153747492,1254
7433,1407394,99.7852417324448,6840
10477,1408684,99.87670365557,9746
14115,1409744,99.95185841410698,13247
16497,1377001,97.63035628318596,15441
16637,1407719,99.8082844650151,15579
17016,1402778,99.45796402923095,15951
18248,1408274,99.84763436217362,17163
19410,1408683,99.8766327548544,18303
25755,1401573,99.37252866693184,22978
26305,1409625,99.94342122895047,23453
29238,1408963,99.89648495522265,26133
30247,1408050,99.83175260187902,26985
1698,916,0.06494505549044506,1567
17926,791,0.056082466040329744,16848
18412,8203,0.5815985700743678,17327
33558,30,0.0021270214680276767,29550
28516,161,0.011415015211748532,25516
19683,34,0.002410624330431367,18573
289,40,0.0028360286240369024,203
5027,111,0.007869979431702404,4551
1780,258,0.01829238462503802,1648
32316,284,0.020135803230662008,28472
22909,171,0.012124022367757758,21221
292,35,0.0024815250460322896,206
601,189,0.013400235248574364,503
21947,59,0.004183142220454431,20660
8914,612,0.04339123794776461,8257
21133,485,0.03438684706644744,19884
25330,213,0.015101852422996505,22570
27051,11,0.0007799078716101481,24138
5198,196,0.013896540257780822,4710
19203,92,0.006522865835284875,18098
3397,273,0.01935589535905186,2983
29247,184,0.01304573167056975,26142
10689,395,0.02800578266236441,9943
1538,83,0.005884759394876572,1411
1629,28,0.0019852200368258317,1498
15986,22,0.0015598157432202963,14937
3455,498,0.03530855636925943,3040
33746,843,0.05976930325157772,29730
33739,115,0.008153582294106095,29724
11650,206,0.014605547413790047,10880
28722,116,0.008224483009707018,25680
31017,122,0.008649887303312552,27591
18257,438,0.031054513433204083,17172
32351,324,0.02297183185469891,28507
16158,657,0.04658177014980612,15105
32627,396,0.028076683377965334,28767
15098,54,0.0038286386424498183,14195
18033,156,0.011060511633743919,16952
6083,80,0.005672057248073805,5548
19496,45,0.0031905322020415153,18387
21956,269,0.019072292496648168,20669
2563,61,0.004324943651656276,2188
2874,11,0.0007799078716101481,2488
22893,81,0.005742957963674728,21205
772,76,0.005388454385670115,664
28850,98,0.006948270128890411,25783
18009,173,0.012265823798959604,16928
70,15,0.0010635107340138384,12
28282,266,0.0188595903498454,25324
14859,15,0.0010635107340138384,13959
775,111,0.007869979431702404,667
26493,14,0.0009926100184129158,23604
18795,40,0.0028360286240369024,17709
26582,25,0.001772517890023064,23692
77,63,0.004466745082858122,19
14917,36,0.0025524257616332123,14016
