NSP1 | (n = 28),NSP2 | (n=32),NSP3 | (n=58),NSP4 | (n=14),NSP5 | (n=9),NSP6 | (n=3),NSP7 | (n=0),NSP8 | (n=3),NSP9 | (n=5),NSP10 | (n=7),NSP11 | (n=3),NSP12 | (n=51),NSP13 | (n=24),NSP14 | (n=20),NSP15 | (n=9),NSP16 | (n=12),S | (n=29),ORF3 | (n=17),E | (n=11),M | (n=20),ORF6 | (n=1),ORF7a | (n=7),ORF7b | (n=1),ORF8 | (n=8),N | (n=39),ORF9a | (n=16),ORF9b | (n=7),ORF10 | (n=5)
4332,1969,544,1149,4235,5510,,2153,182,3406,1821,1821,414,265,340,1311,942,1142,3271,543,14676,1597,7652,7317,671,671,5155,501
1011,10488,2008,3307,6538,9585,,191,1344,266,15,15,1812,792,5852,3166,9858,1489,1070,1059,,12226,,8090,4056,4056,1229,914
6044,5422,1925,1710,1469,959,,4972,1389,17,12,12,4500,20,2494,611,10120,3751,108,1133,,10642,,2060,3811,3811,1188,3440
3771,689722,2491,1947,383,,,,1622,1447,,198,1584,275,5561,3524,3058,1121,57,1317,,8727,,1467,1568,1568,810,678
1018,1044,6268,1419,4096,,,,56,1649,,381,12527,824,1262,1099,925,6965,4034,3379,,7729,,1616,7496,7496,225,3079
5338,341,3029,224,1018,,,,,2329,,537,1407,520,1224,2031,1448,1006,300,265,,8295,,1656,177,177,703,
240,40,4643,79,122,,,,,2032,,331,533,1109,826,835,5930,1401,230,1176,,4346,,1819,1055,1055,23676,
509,184,3395,2426,9704,,,,,,,926,132,1985,1929,1985,47284,2199,490,584,,,,3422,754,754,,
412,1136,6631,13430,5714,,,,,,,2822,294,328,1737,4865,1797,3716,798,3458,,,,,305,305,,
965,2158,14449,1027,,,,,,,,1197,182,372,,126509,4449,8564,2054,2846,,,,,1899,1899,,
317,7164,327,3493,,,,,,,,146,1528,4214,,79823,5044,865,221,3643,,,,,319,319,,
1028,3913,796,377,,,,,,,,657,93,2125,,21443,2780,1297,,394,,,,,2771,2771,,
279,2287,1324,1554,,,,,,,,639,305,467,,,8173,5778,,274,,,,,55,55,,
801,2550,1408,3705,,,,,,,,1453,1676,315,,,45,1275,,55,,,,,191,191,,
1280,683,6158,,,,,,,,,622,2528,563,,,59,2567,,384,,,,,170,170,,
217,475,2396,,,,,,,,,1135,633,1079,,,112,2164,,68,,,,,378,378,,
1246,791,1805,,,,,,,,,204,135,374,,,1114,1410,,1990,,,,,7428,,,
445,4552,3434,,,,,,,,,117,13147,29505,,,137,,,1848,,,,,2,,,
987,6968,1002,,,,,,,,,240,1003,27640,,,652,,,152,,,,,5155,,,
1328,1368,7118,,,,,,,,,1609,198,47802,,,109,,,21,,,,,1229,,,
1249,216,24039,,,,,,,,,3405,5746,,,,845,,,,,,,,1188,,,
1206,2785,4325,,,,,,,,,762,317,,,,3204,,,,,,,,810,,,
1156,2090,660,,,,,,,,,447,495,,,,1841,,,,,,,,225,,,
1149,1093,4967,,,,,,,,,1552,34,,,,737,,,,,,,,703,,,
1043,2883,10712,,,,,,,,,124,,,,,510,,,,,,,,23676,,,
73,3570,1025,,,,,,,,,1244,,,,,696,,,,,,,,253,,,
160,2334,358,,,,,,,,,690178,,,,,565,,,,,,,,85,,,
972,1436,3420,,,,,,,,,4750,,,,,1073,,,,,,,,11609,,,
,1202,2263,,,,,,,,,4253,,,,,1904,,,,,,,,31,,,
,4482,1391,,,,,,,,,457,,,,,,,,,,,,,8156,,,
,1595,620,,,,,,,,,501,,,,,,,,,,,,,610,,,
,1235,3478,,,,,,,,,2943,,,,,,,,,,,,,960,,,
,,1042,,,,,,,,,270,,,,,,,,,,,,,1636,,,
,,1016,,,,,,,,,102,,,,,,,,,,,,,7081,,,
,,648,,,,,,,,,555,,,,,,,,,,,,,419,,,
,,2445,,,,,,,,,1015,,,,,,,,,,,,,7325,,,
,,4196,,,,,,,,,94,,,,,,,,,,,,,3076,,,
,,2685,,,,,,,,,3171,,,,,,,,,,,,,2235,,,
,,3283,,,,,,,,,132,,,,,,,,,,,,,13812,,,
,,747,,,,,,,,,33038,,,,,,,,,,,,,,,,
,,2372,,,,,,,,,1998,,,,,,,,,,,,,,,,
,,6499,,,,,,,,,625,,,,,,,,,,,,,,,,
,,2657,,,,,,,,,359,,,,,,,,,,,,,,,,
,,4447,,,,,,,,,158,,,,,,,,,,,,,,,,
,,2425,,,,,,,,,280,,,,,,,,,,,,,,,,
,,4343,,,,,,,,,29324,,,,,,,,,,,,,,,,
,,18700,,,,,,,,,6530,,,,,,,,,,,,,,,,
,,528,,,,,,,,,1556,,,,,,,,,,,,,,,,
,,683,,,,,,,,,98,,,,,,,,,,,,,,,,
,,170,,,,,,,,,841,,,,,,,,,,,,,,,,
,,671,,,,,,,,,998,,,,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,,,,,,,,,,,,,
,,1595,,,,,,,,,,,,,,,,,,,,,,,,,
,,141,,,,,,,,,,,,,,,,,,,,,,,,,
,,702,,,,,,,,,,,,,,,,,,,,,,,,,
,,813,,,,,,,,,,,,,,,,,,,,,,,,,
,,325,,,,,,,,,,,,,,,,,,,,,,,,,
,,557,,,,,,,,,,,,,,,,,,,,,,,,,
