pos_term_ZAP,pos_term_NOTZAP,pos_all_ZAP,pos_all_NOTZAP
151,44,151,44
218,71,218,71
340,100,340,100
560,123,560,123
601,164,601,164
676,173,676,173
706,197,706,197
823,203,823,203
959,207,959,241
1263,241,1263,245
1267,245,1267,255
1420,255,1420,292
1960,292,1960,304
2197,304,2197,346
2716,335,2716,350
3241,337,3241,367
3619,346,3619,392
6361,350,6361,442
6445,367,6445,482
6849,392,6849,486
7471,442,7471,494
7528,482,7528,541
9755,486,9755,620
10156,494,10156,635
10834,541,10834,643
12733,556,12733,679
13256,620,13256,776
13530,635,13530,788
13603,643,13603,799
13620,673,13620,884
15180,679,15180,913
15450,703,15450,990
15588,776,15588,995
15720,788,15720,1166
15960,799,15960,1185
17172,815,17172,1288
17333,884,17333,1457
17560,913,17560,1469
17563,990,17563,1541
17718,995,17718,1549
18312,1166,18312,1594
18582,1185,18582,1684
20946,1288,20946,1889
22987,1457,22987,1898
23462,1469,23462,1913
23609,1541,23609,1943
25539,1549,25539,2094
25792,1594,25792,2143
26142,1684,26142,2245
26198,1889,26198,2397
26994,1898,26994,2623
27114,1913,27114,2638
27600,1943,27600,2857
27603,2094,27603,2878
28377,2143,28377,3583
28394,2245,28394,3688
28486,2397,28486,3773
28550,2623,28550,3874
28657,2638,28657,4206
28844,2857,28844,4254
28915,2878,28915,4391
29102,3583,29102,4421
29178,3688,29178,4475
29226,3773,29226,4560
29347,3874,29347,4582
28567,4206,28567,4655
,4254,207,4719
,4391,335,5007
,4421,556,5147
,4475,673,5512
,4560,703,5628
,4582,815,5812
,4655,17550,5856
,4719,18306,6031
,5007,20936,6040
,5147,23606,6270
,5512,26139,6296
,5628,26192,6336
,5812,28367,6363
,5856,28391,6388
,6031,28475,6472
,6040,28556,6740
,6270,28838,6752
,6296,29095,6883
,6336,29218,7006
,6363,26195,7392
,6388,337,7508
,6472,,7674
,6740,,7735
,6752,,7935
,6883,,8016
,7006,,8047
,7392,,8055
,7508,,8074
,7674,,8177
,7735,,8266
,7935,,8321
,8016,,8352
,8047,,8354
,8055,,8367
,8074,,8407
,8177,,8441
,8266,,8453
,8321,,8717
,8352,,8786
,8354,,8860
,8367,,8880
,8407,,8888
,8441,,9110
,8453,,9122
,8717,,9223
,8786,,9430
,8860,,9801
,8880,,9845
,8888,,9870
,9110,,9967
,9122,,10138
,9223,,10232
,9430,,10367
,9801,,10641
,9845,,10681
,9870,,10718
,9967,,10889
,10138,,11249
,10232,,11416
,10367,,11669
,10641,,12242
,10681,,12260
,10718,,12513
,10889,,12713
,11249,,12768
,11416,,12823
,11669,,13016
,12242,,13200
,12260,,13239
,12513,,13378
,12713,,13384
,12768,,13424
,12823,,13426
,13016,,13458
,13200,,13468
,13239,,13476
,13378,,13492
,13384,,13502
,13424,,13506
,13426,,13761
,13458,,13786
,13468,,13792
,13476,,13821
,13492,,13957
,13502,,13959
,13506,,13965
,13761,,13981
,13786,,13987
,13792,,14029
,13821,,14097
,13957,,14117
,13959,,14267
,13965,,14293
,13981,,14583
,13987,,14614
,14029,,14621
,14097,,14676
,14117,,14793
,14267,,14809
,14293,,14889
,14583,,14922
,14614,,15024
,14621,,15037
,14676,,15103
,14793,,15108
,14809,,15358
,14889,,15371
,14922,,15391
,15024,,15542
,15037,,15601
,15103,,15678
,15108,,15688
,15358,,15981
,15371,,16012
,15391,,16017
,15542,,16220
,15601,,16297
,15678,,16329
,15688,,16376
,15981,,16536
,16012,,16646
,16017,,16699
,16220,,16768
,16297,,16792
,16329,,16870
,16376,,17143
,16536,,17245
,16646,,17251
,16699,,17410
,16768,,17436
,16792,,17461
,16870,,17678
,17143,,17740
,17245,,18016
,17251,,18265
,17410,,18267
,17436,,18289
,17461,,18461
,17550,,18526
,17678,,18652
,17740,,18676
,18016,,18744
,18265,,18755
,18267,,18888
,18289,,18904
,18306,,18959
,18461,,19029
,18526,,19206
,18652,,19454
,18676,,19465
,18744,,19524
,18755,,19801
,18888,,19961
,18904,,20032
,18959,,20133
,19029,,20290
,19206,,20316
,19454,,20325
,19465,,20389
,19524,,20468
,19801,,20669
,19961,,20678
,20032,,20790
,20133,,20930
,20290,,21054
,20316,,21156
,20325,,21219
,20389,,21254
,20468,,21304
,20669,,21306
,20678,,21557
,20790,,21662
,20930,,21897
,20936,,21928
,21054,,22050
,21156,,22185
,21219,,22202
,21254,,22224
,21304,,22467
,21306,,22591
,21557,,22675
,21662,,22792
,21897,,22858
,21928,,23291
,22050,,23498
,22185,,23575
,22202,,23615
,22224,,23855
,22467,,24130
,22591,,24198
,22675,,24444
,22792,,24509
,22858,,24833
,23291,,25115
,23498,,25156
,23575,,25339
,23606,,25386
,23615,,25480
,23855,,25482
,24130,,25493
,24198,,25499
,24444,,25521
,24509,,25566
,24833,,25680
,25115,,25854
,25156,,26151
,25339,,26208
,25386,,26238
,25480,,26256
,25482,,26261
,25493,,26276
,25499,,26292
,25521,,26313
,25566,,26351
,25680,,26356
,25854,,26366
,26139,,26388
,26151,,26415
,26192,,26425
,26195,,26474
,26208,,26537
,26238,,26549
,26256,,26753
,26261,,26768
,26276,,26833
,26292,,26835
,26313,,26839
,26351,,26841
,26356,,26885
,26366,,26917
,26388,,26936
,26415,,26942
,26425,,26958
,26474,,26970
,26537,,27042
,26549,,27046
,26753,,27073
,26768,,27078
,26833,,27213
,26835,,27389
,26839,,27429
,26841,,27513
,26885,,27612
,26917,,27625
,26936,,27707
,26942,,27881
,26958,,27889
,26970,,28000
,27042,,28076
,27046,,28115
,27073,,28121
,27078,,28194
,27213,,28201
,27389,,28232
,27429,,28236
,27513,,28261
,27612,,28301
,27625,,28313
,27707,,28320
,27881,,28379
,27889,,28422
,28000,,28435
,28076,,28535
,28115,,28718
,28121,,28789
,28194,,28807
,28201,,28826
,28232,,29048
,28236,,29057
,28261,,29203
,28301,,29211
,28313,,29228
,28320,,29253
,28367,,29259
,28379,,29421
,28391,,29572
,28422,,29578
,28435,,29586
,28475,,29592
,28535,,29627
,28556,,29733
,28718,,29741
,28789,,29743
,28807,,29750
,28826,,29754
,28838,,28744
,29048,,
,29057,,
,29095,,
,29203,,
,29211,,
,29218,,
,29228,,
,29253,,
,29259,,
,29421,,
,29572,,
,29578,,
,29586,,
,29592,,
,29627,,
,29733,,
,29741,,
,29743,,
,29750,,
,29754,,
,28744,,
