python_based_indices,frequency,percentage,mapping
102,678726,48.12215909695176,44
129,1393888,98.82765666753875,71
176,1400128,99.2700771328885,100
199,1408936,99.89457063590143,123
235,1409273,99.91846417705894,151
248,1409275,99.91860597849013,164
257,1385938,98.26399597851142,173
281,1409802,99.95597065561182,197
289,1324926,93.93820151826792,203
293,1408903,99.89223091228659,207
305,1407534,99.79516783262893,218
334,1408386,99.85557524232092,245
344,1409689,99.94795887474892,255
382,1406091,99.6928581000168,292
395,1409412,99.92831937652747,304
428,1404379,99.57147607490802,335
430,1406652,99.73263340146892,337
433,1409405,99.92782307151826,340
439,1405085,99.62153198012227,346
443,1410183,99.98298382825578,350
460,1409914,99.96391153575912,367
487,1410011,99.97078890517243,392
538,1409458,99.93158080944511,442
580,1410106,99.9775244731545,482
584,1409395,99.92711406436226,486
592,1410144,99.98021870034734,494
645,1409622,99.94320852680366,541
660,1409143,99.90924708403082,556
664,1410206,99.9846145447146,560
705,1409177,99.91165770836125,601
724,1409978,99.96844918155759,620
742,1409436,99.93002099370189,635
750,1409095,99.90584384968197,643
781,1409174,99.91144500621445,673
784,1409217,99.91449373698529,676
787,1409267,99.91803877276533,679
814,1409274,99.91853507777454,703
817,1409380,99.92605055362824,706
888,1410350,99.99482424776113,776
900,1410263,99.98865588550385,788
911,1409451,99.9310845044359,799
927,1408454,99.86039649098178,815
935,1399935,99.25639329477752,823
997,1405001,99.6155763200118,884
1027,720701,51.09821663430049,913
1076,1409379,99.92597965291263,959
1107,1410082,99.97582285598008,990
1112,1410383,99.99716397137597,995
1289,1410239,99.98695426832943,1166
1308,1409287,99.91945678707735,1185
1388,1408265,99.8469962557332,1263
1392,1403259,99.492067273435,1267
1413,1406510,99.72256549985359,1288
1547,1408136,99.83785006342069,1420
1585,1407873,99.81920317521765,1457
1600,1409740,99.95157481124457,1469
1672,1409948,99.96632216008956,1541
1680,1409632,99.94391753395968,1549
1725,1405871,99.6772599425846,1594
1817,1403455,99.50596381369277,1684
2034,1409055,99.90300782105794,1889
2046,1410207,99.9846854454302,1898
2061,1407638,99.80254150705143,1913
2091,1408333,99.85181750439408,1943
2109,1409330,99.9225055178482,1960
2244,1407540,99.79559323692254,2094
2295,1406853,99.7468844453047,2143
2572,1408089,99.83451772978745,2197
2627,1408987,99.89818657239708,2245
2781,1409221,99.91477733984769,2397
3010,1405941,99.68222299267667,2623
3025,1408828,99.88691335861652,2638
3105,1409188,99.91243761623286,2716
3249,1409879,99.9614300107131,2857
3279,1408415,99.85763136307335,2878
3667,1408498,99.86351612246823,3241
4016,1407932,99.8233863174381,3583
4052,1404155,99.55559431461342,3619
4121,1407394,99.7852417324448,3688
4215,1405780,99.67080797746492,3773
4317,1407028,99.75929207053487,3874
4668,1403792,99.52985735485028,4206
4717,1395974,98.97555556028227,4254
4859,1410096,99.9768154659985,4391
4890,1409627,99.94356303038167,4421
4947,1409099,99.90612745254438,4475
5036,1409015,99.9001717924339,4560
5060,1404265,99.56339339332952,4582
5133,1408027,99.83012188542018,4655
5207,1408618,99.87202420834033,4719
5508,1406989,99.75652694262644,5007
5654,1409421,99.92895748296787,5147
6045,1403305,99.49532870635264,5512
6164,1386384,98.29561769766943,5628
6352,1406098,99.69335440502601,5812
6396,1409763,99.95320552770339,5856
6576,1405456,99.64783614561021,6031
6585,1399711,99.24051153448292,6040
6823,1409398,99.92732676650905,6270
6850,1410065,99.97461754381487,6296
6891,1407003,99.75751955264485,6336
6916,1408160,99.83955168059511,6361
6918,1409032,99.90137710459912,6363
6943,1409803,99.95604155632743,6388
7012,1406945,99.75340731114,6445
7040,1409381,99.92612145434384,6472
7327,1409407,99.92796487294946,6740
7341,1409775,99.9540563362906,6752
7442,1407978,99.82664775035575,6849
7479,1406227,99.70250059733853,6883
7605,1407738,99.80963157861153,7006
8037,1407140,99.76723295068217,7392
8117,1409676,99.9470371654461,7471
8155,1408051,99.83182350259462,7508
8175,1403924,99.5392162493096,7528
8322,1407766,99.81161679864834,7674
8384,1405976,99.6847045177227,7735
8586,1407998,99.82806576466777,7935
8667,1406080,99.69207819214519,8016
8698,1391723,98.67415661826274,8047
8706,1409895,99.96256442216271,8055
8727,1409740,99.95157481124457,8074
8833,1410253,99.98794687834784,8177
8923,1409752,99.95242561983179,8266
8978,1410252,99.98787597763224,8321
9010,1408828,99.88691335861652,8352
9012,1410282,99.99000299910027,8354
9025,1409721,99.95022769764815,8367
9066,1409610,99.94235771821646,8407
9100,1410098,99.9769572674297,8441
9113,1409866,99.96050830141029,8453
9397,1409274,99.91853507777454,8717
9468,1407116,99.76553133350775,8786
9544,1408713,99.87875977632243,8860
9564,1408476,99.861956306725,8880
9572,1409004,99.89939188456229,8888
9798,1410199,99.9841182397054,9110
9810,1410344,99.99439884346752,9122
9912,1407997,99.82799486395216,9223
10152,1396993,99.04780338947961,9430
10486,1409396,99.92718496507786,9755
10533,1406930,99.75234380040598,9801
10578,1410046,99.97327043021845,9845
10615,1408869,99.88982028795617,9870
10713,1406718,99.73731284869858,9967
10887,1406188,99.6997354694301,10138
10905,1403885,99.53645112140117,10156
10983,1408954,99.89584684878224,10232
11119,1410040,99.97284502592484,10367
11409,1406327,99.70959066889863,10641
11449,1409405,99.92782307151826,10681
11486,1410301,99.9913501126967,10718
11603,1400719,99.31197945580865,10834
11659,1404709,99.59487331105633,10889
12046,1404913,99.60933705703891,11249
